real_dur;target_dur; dur_diff ;real_SOA;target_SOA;SOA_diff;trial_dur;trial_dur_plus_jitter
0,999976375;1;-0,0000236 ;0,112707692;0,116;-0,003292308;2,006855571;3,167820892
1,006884247;1; 0,0068842 ;0,001339599;0;0,001339599;2,006859876;3,166081099
0,506898758;0,5; 0,0068988 ;0,962877492;0,966;-0,003122508;2,006850322;3,874350492
1,506931418;1,5; 0,0069314 ;1,962774697;1,966;-0,003225303;1,999940522;3,462922097
0,506928371;0,5; 0,0069284 ;0,612719199;0,616;-0,003280801;2,006882078;3,299522899
0,506925236;0,5; 0,0069252 ;0,962645821;0,966;-0,003354179;1,999934166;2,819716421
1,006945364;1; 0,0069454 ;0,99667885;1;-0,00332115;2,00688072;3,08701525
1,499950089;1,5;-0,0000499 ;1,728637357;1,732;-0,003362643;2,006879722;3,271676157
0,499985115;0,5;-0,0000149 ;0,112581992;0,116;-0,003418008;2,006888471;3,559209092
0,50689318;0,5; 0,0068932 ;0,228594228;0,232;-0,003405772;2,006844658;2,792159828
